"concentration_mean","concentration_median","concentration_mean_filtered","concentration_median_filtered","prob_contamination","time_contaminated_mean","time_contaminated_median","max_contam_bout_mean","max_contam_bout_median","contacts_mean","contacts_median","transfers_mean","transfers_median","temp_niche_mean","temp_niche_median","niches_estab_mean","niches_estab_median","food_cont_mean","food_cont_median","zone4_cont_mean","zone4_cont_median","random_cont_mean","random_cont_median","conc_mid_mon_mean","conc_mid_mon_median","conc_mid_mon_mean_filtered","conc_mid_mon_median_filtered","prob_cont_mon","conc_mid_tue_mean","conc_mid_tue_median","conc_mid_tue_mean_filtered","conc_mid_tue_median_filtered","prob_cont_tue","conc_mid_wed_mean","conc_mid_wed_median","conc_mid_wed_mean_filtered","conc_mid_wed_median_filtered","prob_cont_wed","conc_mid_thu_mean","conc_mid_thu_median","conc_mid_thu_mean_filtered","conc_mid_thu_median_filtered","prob_cont_thu","conc_mid_fri_mean","conc_mid_fri_median","conc_mid_fri_mean_filtered","conc_mid_fri_median_filtered","prob_cont_fri"
0,0,NA,NA,0,0.297,0,0.155,0,0.457,0,0.69,0,0,0,0,0,0,0,0,0,0.003,0,0,0,NA,NA,0,9.32307021159606e-06,0,0.00310769007053202,0.00291746118641327,0.003,0.000325716687960135,0,0.162858343980068,0.162858343980068,0.002,8.25774369777117e-06,0,0.00412887184888558,0.00412887184888558,0.002,2.64677122503214e-05,0,0.00661692806258034,0.00294072149781062,0.004
0,0,NA,NA,0,0.223,0,0.121,0,0.396,0,0.601,0,0,0,0,0,0,0,0,0,0.008,0,0,0,NA,NA,0,0.000117647058823529,0,0.117647058823529,0.117647058823529,0.001,0,0,NA,NA,0,4.38403870234399e-05,0,0.0219201935117199,0.0219201935117199,0.002,6.65639748114092e-05,0,0.0166409937028523,0.00294093269732267,0.004
0,0,NA,NA,0,0.268,0,0.145,0,0.407,0,0.703,0,0,0,0,0,0,0,0,0,0.005,0,0,0,NA,NA,0,2.64516160079541e-05,0,0.00881720533598471,0.00294117647058824,0.003,8.82212118665084e-06,0,0.00294070706221695,0.00294117458216025,0.003,8.74136214253251e-05,0,0.0291378738084417,0.00294101553167922,0.003,2.93980339555832e-05,0,0.00587960679111664,0.00294074408569713,0.005
0,0,NA,NA,0,0.217,0,0.116,0,0.442,0,0.617,0,0,0,0,0,0,0,0,0,0.004,0,0,0,NA,NA,0,0.000178087148686268,0,0.0593623828954226,0.00294117647058824,0.003,1.86315604360229e-05,0,0.00465789010900573,0.00294097557395116,0.004,1.26312711957463e-05,0,0.00631563559787313,0.00631563559787313,0.002,6.80395109214026e-06,0,0.00226798369738009,0.00292039447605513,0.003
0,0,NA,NA,0,0.602,0,0.549,0,0.114,0,0.059,0,0,0,0,0,0,0,0,0,0.013,0,0,0,NA,NA,0,5.93519090742651e-08,0,5.93519090742651e-05,5.93519090742651e-05,0.001,0,0,NA,NA,0,8.52119829577987e-08,0,4.26059914788993e-05,4.26059914788993e-05,0.002,4.35333333333333e-05,0,0.0435333333333333,0.0435333333333333,0.001
0.00587861919670212,0,1.17572383934042,0.228078429628158,0.005,1.292,0,1.082,0,0.172,0,0.104,0,0,0,0.072,0,0,0,0,0,0.008,0,0.00599985112804703,0,0.999975188007838,0.00401443038717264,0.006,0.00498846842114244,0,0.831411403523741,0.003,0.006,0.00692246842114244,0,1.38449368422849,0.008,0.005,0.00523846842114244,0,1.30961710528561,0.193,0.004,0.0052425468507706,0,1.31063671269265,0.195039214814079,0.004
0,0,NA,NA,0,0.516,0,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,NA,NA,0,0,0,NA,NA,0,0.00334925012726995,0,1.67462506363498,1.67462506363498,0.002,0.00654373133270919,0,2.18124377756973,3.1029196500445,0.003,0.00681114282891421,0,1.70278570722855,1.68516557312476,0.004
0.00105779312036358,0,1.05779312036358,1.05779312036358,0.001,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
0.00113136686306273,0,1.13136686306273,1.13136686306273,0.001,0.624,0,0.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
0,0,NA,NA,0,0.585,0,0.585,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.008,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
0,0,NA,NA,0,0.661,0,0.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,NA,NA,0,0.00105779312036358,0,1.05779312036358,1.05779312036358,0.001,0.00105779312036358,0,1.05779312036358,1.05779312036358,0.001,0.00105779312036358,0,1.05779312036358,1.05779312036358,0.001,0.00105779312036358,0,1.05779312036358,1.05779312036358,0.001
0,0,NA,NA,0,0.333,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,NA,NA,0,0,0,NA,NA,0,0.00165431738735734,0,1.65431738735734,1.65431738735734,0.001,0.00165431738735734,0,1.65431738735734,1.65431738735734,0.001,0.00165431738735734,0,1.65431738735734,1.65431738735734,0.001
0,0,NA,NA,0,0.247,0,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
0,0,NA,NA,0,0.309,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
0,0,NA,NA,0,0.538,0,0.538,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.008,0,0.00214818682342507,0,1.07409341171254,1.07409341171254,0.002,0.00214784271648926,0,1.07392135824463,1.07392135824463,0.002,0.00214784271648926,0,1.07392135824463,1.07392135824463,0.002,0.00214784271648926,0,1.07392135824463,1.07392135824463,0.002,0.00214784271648926,0,1.07392135824463,1.07392135824463,0.002
0,0,NA,NA,0,0.862,0,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
0,0,NA,NA,0,0.423,0,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,NA,NA,0,0.00266323001555468,0,0.887743338518226,0.179981176368148,0.003,0.00266323001555468,0,0.887743338518226,0.179981176368148,0.003,0.00266322462643962,0,0.887741542146541,0.179975787253093,0.003,0.00266322462643962,0,0.887741542146541,0.179975787253093,0.003
0.000578233669561328,0,0.578233669561328,0.578233669561328,0.001,0.418,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,NA,NA,0,0.00300907461278568,0,3.00907461278568,3.00907461278568,0.001,0.00300907461278568,0,3.00907461278568,3.00907461278568,0.001,0.00300907461278568,0,3.00907461278568,3.00907461278568,0.001,0.00300907461278568,0,3.00907461278568,3.00907461278568,0.001
